dataset,mae,mad,rmse,mape,r2,r2-adj,time_added
velocity_calc,0,0,0.004130212334482098,0.01514802995834153,-1.6558414407767184,-1.656006533176841,2023-05-16 19:11:00
velocity_calc,0,0,0.004130212334482098,0.01514802995834153,-1.6558414407767184,-1.656006533176841,2023-05-16 19:12:07
velocity_calc,0,0,0.004130212334482098,0.01514802995834153,-1.6558414407767184,-1.656006533176841,2023-05-16 19:13:28
velocity_calc,0,0,0.004130212334482098,0.01514802995834153,-1.6558414407767184,-1.656006533176841,2023-05-17 10:30:15
velocity_calc,0,0,0.0034191531214783307,0.012540330775771165,-1.6558378352164271,-1.6560029273924215,2023-05-17 11:30:54
velocity_calc,0,0,0.0034191531214783307,0.012540330775771165,-1.6558378352164271,-1.6560029273924215,2023-05-17 11:32:34
torque,0.9818939433359717,0.9818939433359717,1.2253412857879993,2.2088719354798427,0.12985827663650518,0.1298041296717657,2023-05-17 11:52:12
velocity_calc,23.077161582570238,23.077161582570238,23.077161677935894,98.90388610456816,-120984360.87548913,-120991881.50468509,2023-05-17 11:59:35
velocity_calc,23.077161582570238,23.077161582570238,23.077161677935894,98.90388610456816,-120984360.87548913,-120991881.50468509,2023-05-17 12:00:11
velocity_calc,23.077161582570238,23.077161582570238,23.077161677935894,98.90388610456816,-120984360.87548913,-120991881.50468509,2023-05-17 12:01:39
velocity_calc,23.077161582570238,23.077161582570238,23.077161677935894,98.90388610456816,-120984360.87548913,-120991881.50468509,2023-05-17 12:03:19
velocity_calc,23.077161582570238,23.077161582570238,23.077161677935894,98.90388610456816,-120984360.87548913,-120991881.50468509,2023-05-17 12:04:02
velocity_calc,0.0029260603914978453,0.0029260603914978453,0.0034191531214783307,0.012540330775771165,-1.6558378352164271,-1.6560029273924215,2023-05-17 12:05:47
torque,0.9818939433359717,0.9818939433359717,1.2253412857879993,2.2088719354798427,0.12985827663650518,0.1298041296717657,2023-05-17 12:06:58
velocity_calc,0.0029260603914978453,0.0029260603914978453,0.0034191531214783307,0.012540330775771165,-1.6558378352164271,-1.6560029273924215,2023-05-17 12:14:34
velocity_calc,0.0029260603914978453,0.0029260603914978453,0.0034191531214783307,0.012540330775771165,-1.6558378352164271,-1.6560029273924215,2023-05-17 12:44:36
velocity_calc,0.0029260603914978453,0.0029260603914978453,0.0034191531214783307,0.012540330775771165,-1.6558378352164271,-1.6560029273924215,2023-05-17 13:39:29
velocity_calc,0.0029260603914978453,0.0029260603914978453,0.0034191531214783307,0.012540330775771165,-1.6558378352164271,-1.6560029273924215,2023-05-17 14:50:29
velocity_calc,0.0029260603914978453,0.0029260603914978453,0.0034191531214783307,0.012540330775771165,-1.6558378352164271,-1.6560029273924215,2023-05-17 15:18:44
velocity_calc,0.0029260603914978453,0.0029260603914978453,0.0034191531214783307,0.012540330775771165,-1.6558378352164271,-1.6560029273924215,2023-05-17 15:21:19
velocity_calc,0.0029260603914978453,0.0029260603914978453,0.0034191531214783307,0.012540330775771165,-1.6558378352164271,-1.6560029273924215,2023-05-17 15:22:24
velocity_calc,0.0029260603914978453,0.0029260603914978453,0.0034191531214783307,0.012540330775771165,-1.6558378352164271,-1.6560029273924215,2023-05-17 15:24:05
velocity_calc,0.0029260603914978453,0.0029260603914978453,0.0034191531214783307,0.012540330775771165,-1.6558378352164271,-1.6560029273924215,2023-05-17 15:26:14
velocity_calc,0.0029260603914978453,0.0029260603914978453,0.0034191531214783307,0.012540330775771165,-1.6558378352164271,-1.6560029273924215,2023-05-17 17:06:00
velocity_calc,0.0029680846811013313,0.0029680846811013313,0.00349181314622283,0.01272045940632407,-1.6513114284491248,-1.6514653328682605,2023-05-17 17:16:04
velocity_calc,0.0029260603914978453,0.0029260603914978453,0.0034191531214783307,0.012540330775771165,-1.6558378352164271,-1.6560029273924215,2023-05-17 17:17:23
velocity_calc,0.002923360060310938,0.002923360060310938,0.0034019102875691818,0.012528912037808652,-1.723800035934841,-1.7239581482025566,2023-05-17 17:18:55
velocity_calc,0.00278032065786104,0.00278032065786104,0.0032602942570413083,0.01191573086102945,-1.6828554125066066,-1.6830111480039367,2023-05-17 17:21:26
velocity_calc,0.0029260603914978453,0.0029260603914978453,0.0034191531214783307,0.012540330775771165,-1.6558378352164271,-1.6560029273924215,2023-05-18 08:21:45
torque,1.027257141039983,1.027257141039983,1.2854112053211202,2.239980077079833,0.11898372940616553,0.11893252836760027,2023-05-22 17:09:05
